08/04/21

clang-13

./mul-hacl-test.exe

 nBits	 || l	 || hacl-mul
128	 ||14	 || 48.48
128	 ||16	 || 50.33
128	 ||18	 || 51.51
128	 ||20	 || 48.44
128	 ||22	 || 46.67
128	 ||24	 || 48.45
128	 ||26	 || 49.90
128	 ||28	 || 47.68
128	 ||30	 || 50.06
128	 ||32	 || 54.74
128	 ||34	 || 58.23
128	 ||36	 || 48.79

-----------------------------------------------------
256	 ||2	 || 607.90
256	 ||4	 || 203.70
256	 ||6	 || 87.17
256	 ||8	 || 85.24
256	 ||10	 || 92.36
256	 ||12	 || 85.19
256	 ||14	 || 88.06
256	 ||16	 || 85.80
256	 ||18	 || 87.81
256	 ||20	 || 85.72
256	 ||22	 || 90.41
256	 ||24	 || 86.64
256	 ||26	 || 90.99
256	 ||28	 || 86.03
256	 ||30	 || 85.50
256	 ||32	 || 85.80
256	 ||34	 || 83.83
256	 ||36	 || 86.46

-----------------------------------------------------
512	 ||2	 || 1833.54
512	 ||4	 || 689.34
512	 ||6	 || 350.23
512	 ||8	 || 333.24
512	 ||10	 || 167.00
512	 ||12	 || 166.62
512	 ||14	 || 169.74
512	 ||16	 || 165.06
512	 ||18	 || 197.81
512	 ||20	 || 165.37
512	 ||22	 || 182.58
512	 ||24	 || 168.26
512	 ||26	 || 186.25
512	 ||28	 || 168.36
512	 ||30	 || 184.01
512	 ||32	 || 165.74
512	 ||34	 || 168.13
512	 ||36	 || 183.77

-----------------------------------------------------
1024	 ||2	 || 5584.37
1024	 ||4	 || 2119.56
1024	 ||6	 || 1097.70
1024	 ||8	 || 1120.04
1024	 ||10	 || 650.49
1024	 ||12	 || 608.14
1024	 ||14	 || 633.06
1024	 ||16	 || 608.71
1024	 ||18	 || 450.11
1024	 ||20	 || 453.67
1024	 ||22	 || 438.00
1024	 ||24	 || 418.74
1024	 ||26	 || 468.72
1024	 ||28	 || 441.12
1024	 ||30	 || 464.93
1024	 ||32	 || 451.89
1024	 ||34	 || 421.82
1024	 ||36	 || 437.15

-----------------------------------------------------
2048	 ||2	 || 19944.21
2048	 ||4	 || 8638.88
2048	 ||6	 || 4511.23
2048	 ||8	 || 4479.09
2048	 ||10	 || 2588.57
2048	 ||12	 || 2626.30
2048	 ||14	 || 2608.62
2048	 ||16	 || 2589.99
2048	 ||18	 || 1885.88
2048	 ||20	 || 1897.88
2048	 ||22	 || 1890.95
2048	 ||24	 || 1905.12
2048	 ||26	 || 1891.94
2048	 ||28	 || 1903.33
2048	 ||30	 || 1892.51
2048	 ||32	 || 1885.19
2048	 ||34	 || 1774.09
2048	 ||36	 || 1791.22

-----------------------------------------------------
4096	 ||2	 || 63816.19
4096	 ||4	 || 24665.43
4096	 ||6	 || 12124.89
4096	 ||8	 || 12098.56
4096	 ||10	 || 6981.68
4096	 ||12	 || 7442.34
4096	 ||14	 || 7085.50
4096	 ||16	 || 6831.03
4096	 ||18	 || 5000.78
4096	 ||20	 || 5008.82
4096	 ||22	 || 5146.36
4096	 ||24	 || 5105.62
4096	 ||26	 || 5012.54
4096	 ||28	 || 4982.62
4096	 ||30	 || 5025.91
4096	 ||32	 || 4926.84
4096	 ||34	 || 4617.90
4096	 ||36	 || 4785.86

-----------------------------------------------------
8192	 ||2	 || 171875.79
8192	 ||4	 || 67254.34
8192	 ||6	 || 35647.76
8192	 ||8	 || 32801.24
8192	 ||10	 || 19635.87
8192	 ||12	 || 19522.08
8192	 ||14	 || 21309.77
8192	 ||16	 || 20733.00
8192	 ||18	 || 15359.25
8192	 ||20	 || 15249.03
8192	 ||22	 || 16307.94
8192	 ||24	 || 17045.47
8192	 ||26	 || 16391.90
8192	 ||28	 || 15820.79
8192	 ||30	 || 15786.28
8192	 ||32	 || 15837.84
8192	 ||34	 || 14533.10
8192	 ||36	 || 14476.25

=======================================
